component_id,lot_id,device_type,parameter,unit,temperature_c,voltage_v,spec_min,spec_max,label,value_0h,value_24h,value_96h,value_168h,delta_0_24,relative_delta_0_24,slope_0_24,slope_24_96,slope_96_168,curvature_early,measurement_quality_missing_count,has_early_data,has_target_168h,peer_median_24h,peer_mad_24h,peer_robust_z_24h,peer_slope_median,peer_slope_mad,slope_robust_z,peer_percentile_24h,predicted_168h,prediction_interval_90,action,risk_score,reason_codes,explanation,early_slope
L02-C016,LOT-02,SYNTH-SPACE-ASIC-A,LeakageCurrent,uA,125.0,3.3,0.0,20.0,healthy,4.480911,4.584951,5.079563,5.42039,0.10404000000000035,0.023218492846655593,0.004335000000000015,0.006869611111111112,0.004733708333333333,0.002534611111111097,0,True,True,4.7379195,0.3051198212999994,-0.5013391111343062,0.001570395833333312,0.00676093398750001,0.4089086170310281,0.2857142857142857,5.097443258907923,0.9794181456766013,PASS,0.196153,"[""WITHIN_CONFIGURED_RISK_POLICY""]","PASS: 24-hour value is 4.58495; predicted 168-hour value is 5.09744 ± 0.979418. The early measurements, peer-relative values, forecast, and uncertainty interval are within the configured policy.",0.004335000000000015
L03-C002,LOT-03,SYNTH-SPACE-ASIC-A,Iddq,uA,125.0,3.3,0.0,50.0,healthy,9.022491,9.010681,8.943048,9.186867,-0.011810000000000542,-0.0013089511532902102,-0.000492083333333356,-0.0009393472222222323,0.003386375000000003,-0.0004472638888888763,0,True,True,9.170887,0.31588720379999996,-0.5071620441498889,0.0020607499999999814,0.006466668775000015,-0.39476791253056437,0.32142857142857145,9.301933196819736,0.9794181456766013,PASS,0.195031,"[""WITHIN_CONFIGURED_RISK_POLICY""]","PASS: 24-hour value is 9.01068; predicted 168-hour value is 9.30193 ± 0.979418. The early measurements, peer-relative values, forecast, and uncertainty interval are within the configured policy.",-0.000492083333333356
L01-C028,LOT-01,SYNTH-SPACE-ASIC-A,LeakageCurrent,uA,125.0,3.3,0.0,20.0,healthy,4.434035,4.403122,4.645395,4.921582,-0.03091299999999997,-0.006971753718678353,-0.0012880416666666654,0.0033649027777777774,0.003835930555555558,0.004652944444444443,0,True,True,4.300483,0.3281772165000001,0.31275480088057817,0.0027300625000000007,0.006139724587499993,-0.654443714763235,0.5714285714285714,4.736366881274322,0.9794181456766013,PASS,0.194251,"[""WITHIN_CONFIGURED_RISK_POLICY""]","PASS: 24-hour value is 4.40312; predicted 168-hour value is 4.73637 ± 0.979418. The early measurements, peer-relative values, forecast, and uncertainty interval are within the configured policy.",-0.0012880416666666654
L03-C027,LOT-03,SYNTH-SPACE-ASIC-A,LeakageCurrent,uA,125.0,3.3,0.0,20.0,healthy,3.470823,3.401189,3.308662,3.457281,-0.0696340000000002,-0.02006267677723704,-0.002901416666666675,-0.0012850972222222226,0.0020641527777777785,0.0016163194444444523,0,True,True,3.341222,0.5427309342000002,0.11049121437751255,0.0010181041666666633,0.004231463949999997,-0.9262800958834451,0.5357142857142857,3.6823005430528246,0.9794181456766013,PASS,0.193739,"[""WITHIN_CONFIGURED_RISK_POLICY""]","PASS: 24-hour value is 3.40119; predicted 168-hour value is 3.6823 ± 0.979418. The early measurements, peer-relative values, forecast, and uncertainty interval are within the configured policy.",-0.002901416666666675
L01-C020,LOT-01,SYNTH-SPACE-ASIC-A,Iddq,uA,125.0,3.3,0.0,50.0,healthy,10.543718,10.60847,10.905021,11.007819,0.06475200000000036,0.00614128716264987,0.002698000000000015,0.004118763888888877,0.0014277499999999993,0.0014207638888888616,0,True,True,10.403443,0.5576970399000016,0.36763150121213434,0.00595983333333335,0.005656396987500031,-0.5766627308057765,0.6428571428571429,11.137026186957236,0.9794181456766013,PASS,0.193665,"[""WITHIN_CONFIGURED_RISK_POLICY""]","PASS: 24-hour value is 10.6085; predicted 168-hour value is 11.137 ± 0.979418. The early measurements, peer-relative values, forecast, and uncertainty interval are within the configured policy.",0.002698000000000015
L03-C010,LOT-03,SYNTH-SPACE-ASIC-A,Iddq,uA,125.0,3.3,0.0,50.0,healthy,9.220363,9.330022,9.48067,9.99927,0.10965899999999884,0.011893132623954049,0.004569124999999952,0.002092333333333338,0.007202777777777768,-0.0024767916666666137,0,True,True,9.170887,0.31588720379999996,0.5037715934221682,0.0020607499999999814,0.006466668775000015,0.38789291477202104,0.7142857142857143,9.949858873868838,0.9794181456766013,PASS,0.192965,"[""WITHIN_CONFIGURED_RISK_POLICY""]","PASS: 24-hour value is 9.33002; predicted 168-hour value is 9.94986 ± 0.979418. The early measurements, peer-relative values, forecast, and uncertainty interval are within the configured policy.",0.004569124999999952
L02-C011,LOT-02,SYNTH-SPACE-ASIC-A,Iddq,uA,125.0,3.3,0.0,50.0,healthy,10.82784,10.826935,11.273028,11.383942,-0.0009049999999994895,-8.358084345534193e-05,-3.770833333331206e-05,0.006195736111111103,0.0015404722222222124,0.006233444444444416,0,True,True,10.470457,0.570160516800001,0.625223931675797,0.0014842708333333565,0.0069718647249999615,-0.21830302604826818,0.6785714285714286,11.249209950537312,0.9794181456766013,PASS,0.192127,"[""WITHIN_CONFIGURED_RISK_POLICY""]","PASS: 24-hour value is 10.8269; predicted 168-hour value is 11.2492 ± 0.979418. The early measurements, peer-relative values, forecast, and uncertainty interval are within the configured policy.",-3.770833333331206e-05
L01-C016,LOT-01,SYNTH-SPACE-ASIC-A,LeakageCurrent,uA,125.0,3.3,0.0,20.0,healthy,4.071424,4.101695,4.38601,4.727155,0.030270999999999937,0.0074349908042001854,0.001261291666666664,0.003948819444444436,0.004738125,0.002687527777777772,0,True,True,4.300483,0.3281772165000001,-0.6057337011998195,0.0027300625000000007,0.006139724587499993,-0.2392242212824401,0.21428571428571427,4.4409513054923355,0.9794181456766013,PASS,0.191129,"[""WITHIN_CONFIGURED_RISK_POLICY""]","PASS: 24-hour value is 4.1017; predicted 168-hour value is 4.44095 ± 0.979418. The early measurements, peer-relative values, forecast, and uncertainty interval are within the configured policy.",0.001261291666666664
L01-C010,LOT-01,SYNTH-SPACE-ASIC-A,LeakageCurrent,uA,125.0,3.3,0.0,20.0,healthy,4.044818,4.212682,4.312139,4.688864,0.1678639999999998,0.04150100202283509,0.006994333333333325,0.001381347222222224,0.00523229166666666,-0.005612986111111101,0,True,True,4.300483,0.3281772165000001,-0.2675414245278656,0.0027300625000000007,0.006139724587499993,0.6945378041899553,0.35714285714285715,4.975127873942718,0.9794181456766013,PASS,0.190416,"[""WITHIN_CONFIGURED_RISK_POLICY""]","PASS: 24-hour value is 4.21268; predicted 168-hour value is 4.97513 ± 0.979418. The early measurements, peer-relative values, forecast, and uncertainty interval are within the configured policy.",0.006994333333333325
L04-C003,LOT-04,SYNTH-SPACE-ASIC-A,LeakageCurrent,uA,125.0,3.3,0.0,20.0,healthy,4.225702,4.269733,4.71378,5.170744,0.04403099999999949,0.01041980717050078,0.0018346249999999786,0.006167319444444448,0.006346722222222224,0.00433269444444447,0,True,True,4.0562214999999995,0.3065512715999997,0.6964952351546543,0.0023232916666666528,0.0044775446624999915,-0.10913719538284451,0.75,4.798763111381811,0.9794181456766013,PASS,0.189899,"[""WITHIN_CONFIGURED_RISK_POLICY""]","PASS: 24-hour value is 4.26973; predicted 168-hour value is 4.79876 ± 0.979418. The early measurements, peer-relative values, forecast, and uncertainty interval are within the configured policy.",0.0018346249999999786
